algorithm,volume_regime,volatility_regime,windows,mean_delta_vs_twap_bps,win_rate_vs_twap,mean_completion_rate,volume_median,realized_volatility_median
Forecast VWAP,Low volume,Low vol,10,0.41880869,0.30000000,1.00000000,10506.00000000,0.0016610323
Forecast VWAP,Low volume,High vol,1,-1.15455339,1.00000000,1.00000000,10506.00000000,0.0016610323
Forecast VWAP,High volume,Low vol,1,0.04033094,0.00000000,1.00000000,10506.00000000,0.0016610323
Forecast VWAP,High volume,High vol,11,2.10639881,0.18181818,1.00000000,10506.00000000,0.0016610323
POV,Low volume,Low vol,10,-9.59756610,0.70000000,1.00000000,10506.00000000,0.0016610323
POV,Low volume,High vol,1,-22.54428898,1.00000000,1.00000000,10506.00000000,0.0016610323
POV,High volume,Low vol,1,8.21969987,0.00000000,1.00000000,10506.00000000,0.0016610323
POV,High volume,High vol,11,4.76690105,0.36363636,1.00000000,10506.00000000,0.0016610323
