algorithm,windows,mean_is_bps,median_is_bps,mean_delta_vs_twap_bps,median_delta_vs_twap_bps,win_rate_vs_twap,mean_completion_rate,min_completion_rate,max_completion_rate
TWAP,23,-29.46219816,8.04334786,0.00000000,0.00000000,,1.00000000,1.00000000,1.00000000
Forecast VWAP,23,-28.32114375,8.58671914,1.14105441,0.53756698,0.26086957,1.00000000,1.00000000,1.00000000
POV,23,-31.97803897,5.77469824,-2.51584081,-3.41184500,0.52173913,1.00000000,1.00000000,1.00000000
