datetime,open,high,low,close,volume
2026-07-24T13:30:00+00:00,321.52999999999975,325.3099999999997,321.52999999999975,324.72999999999973,1664
2026-07-24T13:35:00+00:00,324.72999999999973,325.88999999999976,324.53999999999974,325.22999999999973,1546
2026-07-24T13:40:00+00:00,325.22999999999973,325.9499999999997,324.9499999999997,325.66999999999973,1620
2026-07-24T13:45:00+00:00,325.66999999999973,327.5099999999997,325.5499999999997,326.7999999999997,1762
2026-07-24T13:50:00+00:00,326.7999999999997,327.41999999999973,326.26999999999975,327.32999999999976,1531
2026-07-24T13:55:00+00:00,327.32999999999976,327.78999999999974,326.7399999999997,326.7999999999997,1736
2026-07-24T14:00:00+00:00,326.7999999999997,327.6999999999997,326.7999999999997,327.41999999999973,1969
2026-07-24T14:05:00+00:00,327.41999999999973,328.2499999999997,327.3099999999997,328.14999999999975,1612
2026-07-24T14:10:00+00:00,328.14999999999975,328.65999999999974,328.0599999999997,328.0599999999997,1549
2026-07-24T14:15:00+00:00,328.0599999999997,328.59999999999974,327.8199999999997,328.22999999999973,1697
2026-07-24T14:20:00+00:00,328.22999999999973,329.4299999999997,328.14999999999975,329.26999999999975,1472
2026-07-24T14:25:00+00:00,329.26999999999975,329.4399999999997,328.57999999999976,328.77999999999975,1586
2026-07-24T14:30:00+00:00,328.77999999999975,329.3799999999997,328.7499999999997,329.1899999999997,1611
2026-07-24T14:35:00+00:00,329.1899999999997,329.6799999999997,329.14999999999975,329.3099999999997,1452
2026-07-24T14:40:00+00:00,329.3099999999997,329.8099999999997,329.2999999999997,329.39999999999975,1606
2026-07-24T14:45:00+00:00,329.39999999999975,329.6799999999997,329.2399999999997,329.47999999999973,1580
2026-07-24T14:50:00+00:00,329.47999999999973,330.21999999999974,329.28999999999974,329.7399999999997,1286
2026-07-24T14:55:00+00:00,329.7399999999997,330.2599999999997,329.5499999999997,329.9399999999997,1436
2026-07-24T15:00:00+00:00,329.9399999999997,330.5099999999997,329.7499999999997,330.3799999999997,1325
2026-07-24T15:05:00+00:00,330.3799999999997,330.6799999999997,330.15999999999974,330.39999999999975,1420
2026-07-24T15:10:00+00:00,330.39999999999975,331.38999999999976,330.15999999999974,331.3199999999997,1798
2026-07-24T15:15:00+00:00,331.3199999999997,331.63999999999976,331.0499999999997,331.16999999999973,1618
2026-07-24T15:20:00+00:00,331.16999999999973,331.5499999999997,331.14999999999975,331.45999999999975,1269
2026-07-24T15:25:00+00:00,331.45999999999975,331.9399999999997,331.34999999999974,331.72999999999973,1302
2026-07-24T15:30:00+00:00,331.72999999999973,332.32999999999976,331.58999999999975,332.22999999999973,1107
2026-07-24T15:35:00+00:00,332.22999999999973,332.6999999999997,332.21999999999974,332.6899999999997,1201
2026-07-24T15:40:00+00:00,332.6899999999997,333.27999999999975,332.66999999999973,332.85999999999973,1137
2026-07-24T15:45:00+00:00,332.85999999999973,333.21999999999974,332.77999999999975,332.9499999999997,912
2026-07-24T15:50:00+00:00,332.9499999999997,333.6299999999997,332.9499999999997,333.35999999999973,843
2026-07-24T15:55:00+00:00,333.35999999999973,333.4499999999997,332.8799999999997,333.0499999999997,1253
2026-07-24T16:00:00+00:00,333.0499999999997,333.84999999999974,332.9999999999997,333.71999999999974,970
2026-07-24T16:05:00+00:00,333.71999999999974,334.10999999999973,333.07999999999976,333.09999999999974,1140
2026-07-24T16:10:00+00:00,333.09999999999974,333.2999999999997,332.6899999999997,333.2499999999997,1257
2026-07-24T16:15:00+00:00,333.2499999999997,333.77999999999975,332.9899999999997,333.66999999999973,835
2026-07-24T16:20:00+00:00,333.66999999999973,334.3799999999997,333.65999999999974,333.97999999999973,948
2026-07-24T16:25:00+00:00,333.97999999999973,334.2599999999997,333.6799999999997,333.71999999999974,863
2026-07-24T16:30:00+00:00,333.71999999999974,333.83999999999975,333.35999999999973,333.57999999999976,877
2026-07-24T16:35:00+00:00,333.57999999999976,333.95999999999975,333.47999999999973,333.7499999999997,806
2026-07-24T16:40:00+00:00,333.7499999999997,333.9499999999997,333.4999999999997,333.60999999999973,763
2026-07-24T16:45:00+00:00,333.60999999999973,333.7399999999997,332.95999999999975,333.07999999999976,883
2026-07-24T16:50:00+00:00,333.07999999999976,333.1899999999997,332.6799999999997,332.96999999999974,817
2026-07-24T16:55:00+00:00,332.96999999999974,333.2399999999997,332.83999999999975,333.15999999999974,897
2026-07-24T17:00:00+00:00,333.15999999999974,333.5099999999997,332.88999999999976,332.89999999999975,1005
2026-07-24T17:05:00+00:00,332.89999999999975,333.0499999999997,332.5599999999997,332.6899999999997,989
2026-07-24T17:10:00+00:00,332.6899999999997,332.84999999999974,332.4299999999997,332.51999999999975,887
2026-07-24T17:15:00+00:00,332.51999999999975,332.78999999999974,332.34999999999974,332.4299999999997,679
2026-07-24T17:20:00+00:00,332.4299999999997,332.66999999999973,332.16999999999973,332.3099999999997,794
2026-07-24T17:25:00+00:00,332.3099999999997,332.4999999999997,332.16999999999973,332.38999999999976,592
2026-07-24T17:30:00+00:00,332.38999999999976,333.1999999999997,332.3799999999997,332.85999999999973,855
2026-07-24T17:35:00+00:00,332.85999999999973,333.0599999999997,332.60999999999973,332.8199999999997,668
2026-07-24T17:40:00+00:00,332.8199999999997,333.09999999999974,332.6899999999997,332.91999999999973,776
2026-07-24T17:45:00+00:00,332.91999999999973,333.15999999999974,332.77999999999975,333.03999999999974,707
2026-07-24T17:50:00+00:00,333.03999999999974,333.09999999999974,332.77999999999975,332.96999999999974,563
2026-07-24T17:55:00+00:00,332.96999999999974,332.9899999999997,332.6299999999997,332.63999999999976,634
2026-07-24T18:00:00+00:00,332.63999999999976,332.8799999999997,332.63999999999976,332.7599999999997,682
2026-07-24T18:05:00+00:00,332.7599999999997,333.1999999999997,332.72999999999973,332.8199999999997,638
2026-07-24T18:10:00+00:00,332.8199999999997,332.89999999999975,332.47999999999973,332.4899999999997,660
2026-07-24T18:15:00+00:00,332.4899999999997,332.77999999999975,332.35999999999973,332.5699999999997,739
2026-07-24T18:20:00+00:00,332.5699999999997,332.6199999999997,332.28999999999974,332.39999999999975,716
2026-07-24T18:25:00+00:00,332.39999999999975,332.53999999999974,332.1999999999997,332.3099999999997,926
2026-07-24T18:30:00+00:00,332.3099999999997,332.52999999999975,332.07999999999976,332.16999999999973,799
2026-07-24T18:35:00+00:00,332.16999999999973,332.63999999999976,332.10999999999973,332.52999999999975,1055
2026-07-24T18:40:00+00:00,332.52999999999975,332.5699999999997,332.0699999999997,332.26999999999975,1100
2026-07-24T18:45:00+00:00,332.26999999999975,332.72999999999973,332.20999999999975,332.6999999999997,834
2026-07-24T18:50:00+00:00,332.6999999999997,333.1299999999997,332.6799999999997,333.01999999999975,943
2026-07-24T18:55:00+00:00,333.01999999999975,333.21999999999974,332.85999999999973,332.96999999999974,895
2026-07-24T19:00:00+00:00,332.96999999999974,333.26999999999975,332.91999999999973,333.09999999999974,1041
2026-07-24T19:05:00+00:00,333.09999999999974,333.27999999999975,332.5599999999997,332.64999999999975,1048
2026-07-24T19:10:00+00:00,332.64999999999975,333.0599999999997,332.58999999999975,332.78999999999974,1010
2026-07-24T19:15:00+00:00,332.78999999999974,333.14999999999975,332.52999999999975,333.07999999999976,877
2026-07-24T19:20:00+00:00,333.07999999999976,333.14999999999975,332.63999999999976,332.84999999999974,885
2026-07-24T19:25:00+00:00,332.84999999999974,332.8699999999997,332.4999999999997,332.5499999999997,717
2026-07-24T19:30:00+00:00,332.5499999999997,332.60999999999973,332.3699999999997,332.39999999999975,872
2026-07-24T19:35:00+00:00,332.39999999999975,332.7399999999997,332.26999999999975,332.34999999999974,910
2026-07-24T19:40:00+00:00,332.34999999999974,332.8099999999997,332.33999999999975,332.78999999999974,1020
2026-07-24T19:45:00+00:00,332.78999999999974,332.91999999999973,331.88999999999976,331.96999999999974,1198
2026-07-24T19:50:00+00:00,331.96999999999974,333.4399999999997,331.96999999999974,333.20999999999975,1247
2026-07-24T19:55:00+00:00,333.20999999999975,333.4499999999997,332.6199999999997,333.13999999999976,1666
2026-07-27T13:30:00+00:00,333.13999999999976,337.09999999999974,333.13999999999976,335.41999999999973,2046
2026-07-27T13:35:00+00:00,335.41999999999973,336.46999999999974,334.27999999999975,335.76999999999975,1351
2026-07-27T13:40:00+00:00,335.76999999999975,335.9299999999997,334.9499999999997,334.96999999999974,1929
2026-07-27T13:45:00+00:00,334.96999999999974,336.8099999999997,334.95999999999975,335.3099999999997,2082
2026-07-27T13:50:00+00:00,335.3099999999997,335.39999999999975,334.57999999999976,334.77999999999975,2048
2026-07-27T13:55:00+00:00,334.77999999999975,335.65999999999974,334.07999999999976,335.52999999999975,2219
2026-07-27T14:00:00+00:00,335.52999999999975,336.90999999999974,335.26999999999975,335.77999999999975,2420
2026-07-27T14:05:00+00:00,335.77999999999975,336.76999999999975,335.66999999999973,336.3099999999997,2397
2026-07-27T14:10:00+00:00,336.3099999999997,336.7499999999997,335.9399999999997,336.6299999999997,2595
2026-07-27T14:15:00+00:00,336.6299999999997,337.8799999999997,336.57999999999976,337.64999999999975,2299
2026-07-27T14:20:00+00:00,337.64999999999975,338.14999999999975,337.1899999999997,337.7499999999997,2058
2026-07-27T14:25:00+00:00,337.7499999999997,337.9299999999997,337.07999999999976,337.66999999999973,2269
2026-07-27T14:30:00+00:00,337.66999999999973,337.84999999999974,336.85999999999973,337.4499999999997,2054
2026-07-27T14:35:00+00:00,337.4499999999997,337.6899999999997,336.9999999999997,337.6899999999997,1963
2026-07-27T14:40:00+00:00,337.6899999999997,337.91999999999973,336.2499999999997,336.35999999999973,2587
2026-07-27T14:45:00+00:00,336.35999999999973,337.58999999999975,336.15999999999974,337.40999999999974,1989
2026-07-27T14:50:00+00:00,337.40999999999974,337.53999999999974,336.64999999999975,336.8199999999997,1611
2026-07-27T14:55:00+00:00,336.8199999999997,338.3799999999997,336.8199999999997,338.2399999999997,1611
2026-07-27T15:00:00+00:00,338.2399999999997,339.52999999999975,338.1899999999997,339.15999999999974,1947
2026-07-27T15:05:00+00:00,339.15999999999974,339.4399999999997,338.59999999999974,338.66999999999973,1614
2026-07-27T15:10:00+00:00,338.66999999999973,339.2599999999997,338.59999999999974,339.03999999999974,1386
2026-07-27T15:15:00+00:00,339.03999999999974,339.2399999999997,338.6299999999997,338.8199999999997,1480
2026-07-27T15:20:00+00:00,338.8199999999997,338.9999999999997,338.2999999999997,338.6299999999997,1862
2026-07-27T15:25:00+00:00,338.6299999999997,338.9299999999997,338.46999999999974,338.78999999999974,1728
2026-07-27T15:30:00+00:00,338.78999999999974,339.59999999999974,338.57999999999976,339.39999999999975,1736
2026-07-27T15:35:00+00:00,339.39999999999975,339.39999999999975,337.39999999999975,337.53999999999974,2162
2026-07-27T15:40:00+00:00,337.53999999999974,338.33999999999975,337.10999999999973,338.27999999999975,1873
2026-07-27T15:45:00+00:00,338.27999999999975,338.5699999999997,337.8799999999997,338.26999999999975,1661
2026-07-27T15:50:00+00:00,338.26999999999975,338.46999999999974,337.6799999999997,337.9499999999997,1427
2026-07-27T15:55:00+00:00,337.9499999999997,337.9999999999997,336.7599999999997,337.10999999999973,1599
2026-07-27T16:00:00+00:00,337.10999999999973,337.4999999999997,337.0599999999997,337.3099999999997,1290
2026-07-27T16:05:00+00:00,337.3099999999997,337.3199999999997,337.0499999999997,337.1799999999997,1484
2026-07-27T16:10:00+00:00,337.1799999999997,337.5699999999997,337.1199999999997,337.28999999999974,1313
2026-07-27T16:15:00+00:00,337.28999999999974,337.8699999999997,337.20999999999975,337.5099999999997,1393
2026-07-27T16:20:00+00:00,337.5099999999997,337.71999999999974,337.3099999999997,337.58999999999975,1609
2026-07-27T16:25:00+00:00,337.58999999999975,338.02999999999975,337.34999999999974,337.47999999999973,1568
2026-07-27T16:30:00+00:00,337.47999999999973,337.77999999999975,337.39999999999975,337.72999999999973,564
2026-07-27T16:35:00+00:00,337.72999999999973,338.15999999999974,337.38999999999976,337.4499999999997,711
2026-07-27T16:40:00+00:00,337.4499999999997,337.5499999999997,336.5599999999997,336.77999999999975,1329
2026-07-27T16:45:00+00:00,336.77999999999975,336.83999999999975,336.4499999999997,336.47999999999973,1205
2026-07-27T16:50:00+00:00,336.47999999999973,336.63999999999976,336.16999999999973,336.39999999999975,1274
2026-07-27T16:55:00+00:00,336.39999999999975,336.72999999999973,336.08999999999975,336.6999999999997,1339
2026-07-27T17:00:00+00:00,336.6999999999997,336.8099999999997,336.0599999999997,336.07999999999976,1168
2026-07-27T17:05:00+00:00,336.07999999999976,336.3099999999997,335.9399999999997,336.3099999999997,1340
2026-07-27T17:10:00+00:00,336.3099999999997,336.4999999999997,336.14999999999975,336.3799999999997,1260
2026-07-27T17:15:00+00:00,336.3799999999997,336.41999999999973,335.66999999999973,335.96999999999974,1085
2026-07-27T17:20:00+00:00,335.96999999999974,336.4399999999997,335.83999999999975,336.4399999999997,1224
2026-07-27T17:25:00+00:00,336.4399999999997,336.7599999999997,336.0499999999997,336.0499999999997,1251
2026-07-27T17:30:00+00:00,336.0499999999997,336.47999999999973,336.0499999999997,336.47999999999973,883
2026-07-27T17:35:00+00:00,336.47999999999973,336.82999999999976,336.3199999999997,336.5599999999997,920
